DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT123,2018,127.8,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT123,2019,128.4,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT123,2020,128.4,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT123,2021,129.1,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT123,2022,131.2,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT124,2018,47.8,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT124,2019,47.7,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT124,2020,47.7,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT124,2021,47.5,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT124,2022,47.5,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT125,2018,52.3,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT125,2019,52.3,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT125,2020,52.3,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT125,2021,52.4,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT125,2022,53.1,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT126,2018,123.7,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT126,2019,124.8,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT126,2020,124.8,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT126,2021,125.8,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT126,2022,128.1,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT127,2018,236.3,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT127,2019,237.9,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT127,2020,237.9,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT127,2021,239.6,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT127,2022,243.6,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT13,2018,4780.6,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT13,2019,4808.9,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT13,2020,4808.9,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,A,PER_KM2,AT13,2021,4838.6,
